    n, quick_cmp, quick_swaps, quick_time, heapsort_cmp, heapsort_swaps, heapsort_time
  482,      6181,           0,       2758,         7115,              0,          3107
  483,      5878,           0,       2738,         7132,              0,          3124
  484,      5923,           0,       2706,         7144,              0,          3170
  485,      5909,           0,       2702,         7170,              0,          3216
  486,      5823,           0,       2715,         7192,              0,          3134
  487,      6227,           0,       2818,         7207,              0,          3212
  488,      6392,           0,       2893,         7231,              0,          3257
  489,      6160,           0,       2766,         7242,              0,          3220
  490,      6091,           0,       2785,         7245,              0,          3214
  491,      6460,           0,       2969,         7275,              0,          3176
  492,      6635,           0,       2919,         7294,              0,          3200
  493,      6860,           0,       3011,         7292,              0,          3264
  494,      6952,           0,       3108,         7324,              0,          3249
  495,      6315,           0,       2871,         7338,              0,          3272
  496,      6463,           0,       2969,         7354,              0,          3269
  497,      6607,           0,       2990,         7370,              0,          3266
  498,      6366,           0,       2904,         7370,              0,          3338
  499,      6538,           0,       2955,         7413,              0,          3237
  500,      6157,           0,       2768,         7419,              0,          3223
  501,      6672,           0,       3000,         7448,              0,          3270
  502,      6821,           0,       3048,         7467,              0,          3317
  503,      7022,           0,       3156,         7485,              0,          3381
  504,      6913,           0,       3062,         7498,              0,          3278
  505,      6581,           0,       2929,         7519,              0,          3275
  506,      6949,           0,       3096,         7521,              0,          3284
  507,      6429,           0,       2875,         7574,              0,          3295
  508,      6489,           0,       2909,         7575,              0,          3388
  509,      6724,           0,       3020,         7576,              0,          3304
  510,      6519,           0,       2949,         7602,              0,          3374
  511,      6746,           0,       3076,         7613,              0,          3388
  512,      6843,           0,       3104,         7625,              0,          3381
  513,      6537,           0,       2968,         7652,              0,          3454
  514,      6482,           0,       2934,         7642,              0,          3331
  515,      6893,           0,       3057,         7684,              0,          3346
  516,      6616,           0,       3053,         7705,              0,          3371
