   n, quick_cmp, quick_swaps, quick_time, heapsort_cmp, heapsort_swaps, heapsort_time, insertion_cmp, insertion_swaps, insertion_time, bubble_cmp, bubble_swaps, bubble_time
 193,      2027,         124,        926,         2345,           1110,          1184,          9912,            9724,           8372,      18528,         9724,       11295
 194,      1951,         121,        901,         2360,           1119,          1191,         10071,            9882,           8497,      18721,         9882,       11482
 195,      2155,         130,        977,         2361,           1123,          1194,         10107,            9917,           8552,      18915,         9917,       11523
 196,      2167,         124,        975,         2381,           1121,          1199,         10211,           10020,           8621,      19110,        10020,       11649
 197,      2121,         129,        961,         2391,           1116,          1213,         10272,           10080,           8666,      19306,        10080,       11834
 198,      2103,         133,        967,         2404,           1135,          1214,         10343,           10150,           8734,      19503,        10150,       11820
 199,      1945,         127,        905,         2418,           1141,          1218,         10391,           10197,           8778,      19701,        10197,       11954
 200,      1951,         127,        909,         2434,           1151,          1229,         10395,           10200,           8805,      19900,        10200,       12014
 201,      2247,         135,       1038,         2453,           1161,          1243,         10537,           10341,           9017,      20100,        10341,       12388
 202,      2289,         134,       1028,         2477,           1172,          1253,         10646,           10449,           9014,      20301,        10449,       12274
 203,      1981,         132,        922,         2488,           1170,          1252,         10678,           10480,           9028,      20503,        10480,       12434
 204,      2062,         137,        971,         2498,           1184,          1267,         10790,           10591,           9148,      20706,        10591,       12501
 205,      2279,         126,       1020,         2512,           1188,          1269,         10952,           10752,           9274,      20910,        10752,       12650
 206,      2370,         122,       1051,         2518,           1183,          1267,         10983,           10782,           9326,      21115,        10782,       12732
 207,      2430,         129,       1080,         2529,           1194,          1277,         11012,           10810,           9318,      21321,        10810,       12825
 208,      2474,         124,       1096,         2558,           1208,          1294,         11160,           10957,           9449,      21528,        10957,       12959
 209,      2264,         129,       1024,         2579,           1221,          1307,         11343,           11139,           9588,      21736,        11139,       13194
 210,      2241,         130,       1022,         2594,           1223,          1310,         11491,           11286,           9720,      21945,        11286,       13322
 211,      3020,         152,       1296,         2614,           1234,          1321,         11622,           11416,           9835,      22155,        11416,       13431
 212,      2186,         132,       1003,         2627,           1234,          1319,         11806,           11599,           9994,      22366,        11599,       13588
 213,      2420,         127,       1086,         2645,           1248,          1329,         11968,           11760,          10135,      22578,        11760,       13770
 214,      2478,         143,       1116,         2657,           1258,          1346,         12040,           11831,          10207,      22791,        11831,       13879
 215,      2737,         137,       1223,         2667,           1247,          1386,         12067,           11857,          10371,      23005,        11857,       14120
 216,      2923,         135,       1276,         2690,           1260,          1354,         12070,           11859,          10412,      23220,        11859,       14122
 217,      2341,         136,       1073,         2712,           1277,          1365,         12083,           11871,          10241,      23436,        11871,       14152
 218,      2300,         131,       1051,         2715,           1276,          1367,         12118,           11905,          10308,      23653,        11905,       14236
 219,      2483,         133,       1108,         2723,           1276,          1367,         12152,           11938,          10311,      23871,        11938,       14367
 220,      2450,         142,       1111,         2750,           1301,          1385,         12197,           11982,          10365,      24090,        11982,       14367
 221,      2603,         142,       1192,         2759,           1300,          1395,         12396,           12180,          10496,      24310,        12180,       14555
 222,      2323,         135,       1058,         2774,           1312,          1401,         12468,           12251,          10524,      24531,        12251,       14699
 223,      2379,         140,       1094,         2797,           1313,          1410,         12591,           12373,          10665,      24753,        12373,       14786
 224,      2368,         147,       1091,         2815,           1335,          1426,         12633,           12414,          10674,      24976,        12414,       14883
 225,      2515,         155,       1154,         2822,           1335,          1424,         12673,           12453,          10704,      25200,        12453,       14980
 226,      2787,         143,       1245,         2856,           1347,          1440,         12779,           12558,          10844,      25425,        12558,       15096
 227,      2588,         155,       1169,         2863,           1358,          1454,         12926,           12704,          10919,      25651,        12704,       15289
 228,      2347,         149,       1092,         2871,           1360,          1454,         12972,           12749,          11200,      25878,        12749,       15378
 229,      2553,         152,       1154,         2887,           1362,          1482,         13096,           12872,          11095,      26106,        12872,       15611
 230,      2848,         141,       1266,         2918,           1385,          1479,         13127,           12902,          11116,      26335,        12902,       15680
 231,      2385,         148,       1105,         2926,           1381,          1475,         13205,           12979,          11173,      26565,        12979,       15742
 232,      2407,         153,       1115,         2940,           1395,          1486,         13341,           13114,          11293,      26796,        13114,       15892
 233,      2605,         143,       1171,         2949,           1392,          1485,         13456,           13228,          11409,      27028,        13228,       16026
 234,      2508,         159,       1152,         2972,           1412,          1505,         13580,           13351,          11499,      27261,        13351,       16191
 235,      2958,         157,       1334,         2982,           1419,          1513,         13739,           13509,          11697,      27495,        13509,       16331
 236,      3055,         153,       1343,         3013,           1418,          1514,         13928,           13697,          11788,      27730,        13697,       16489
 237,      2796,         167,       1269,         3020,           1430,          1523,         14014,           13782,          11933,      27966,        13782,       16654
 238,      2873,         169,       1291,         3022,           1434,          1524,         14030,           13797,          12191,      28203,        13797,       16721
 239,      2996,         156,       1332,         3042,           1445,          1536,         14197,           13963,          12024,      28441,        13963,       16901
 240,      2810,         161,       1276,         3062,           1456,          1544,         14198,           13963,          12007,      28680,        13963,       16982
 241,      2594,         150,       1178,         3081,           1457,          1551,         14363,           14127,          12168,      28920,        14127,       17205
 242,      2462,         160,       1146,         3086,           1461,          1555,         14379,           14142,          12161,      29161,        14142,       17241
 243,      2872,         156,       1286,         3088,           1452,          1549,         14610,           14372,          12360,      29403,        14372,       17470
 244,      2756,         168,       1255,         3106,           1464,          1562,         14710,           14471,          12448,      29646,        14471,       17552
 245,      2844,         160,       1278,         3127,           1479,          1582,         14947,           14707,          12655,      29890,        14707,       17869
 246,      2821,         149,       1263,         3149,           1495,          1589,         15105,           14864,          12819,      30135,        14864,       17907
 247,      2790,         163,       1270,         3165,           1489,          1593,         15307,           15065,          12982,      30381,        15065,       18134
 248,      2667,         162,       1230,         3176,           1508,          1603,         15412,           15169,          13032,      30628,        15169,       18244
 249,      2930,         158,       1322,         3196,           1507,          1648,         15477,           15233,          13323,      30876,        15233,       18667
 250,      2743,         153,       1298,         3199,           1504,          1603,         15490,           15245,          13108,      31125,        15245,       18435
 251,      2703,         159,       1235,         3230,           1525,          1633,         15503,           15257,          13101,      31375,        15257,       18597
 252,      3188,         174,       1411,         3242,           1535,          1634,         15621,           15374,          13257,      31626,        15374,       18757
 253,      2833,         159,       1283,         3250,           1527,          1634,         15769,           15521,          13375,      31878,        15521,       18899
 254,      3120,         166,       1382,         3276,           1542,          1651,         15802,           15553,          13545,      32131,        15553,       19047
 255,      2921,         163,       1322,         3287,           1555,          1681,         15933,           15683,          13616,      32385,        15683,       19339
 256,      3118,         172,       1389,         3299,           1555,          1667,         16183,           15932,          13822,      32640,        15932,       19601
 257,      2770,         159,       1307,         3312,           1562,          1670,         16408,           16156,          14067,      32896,        16156,       19808
 258,      2763,         156,       1298,         3322,           1571,          1721,         16665,           16412,          14336,      33153,        16412,       20008
 259,      3100,         171,       1391,         3339,           1580,          1702,         16796,           16542,          14448,      33411,        16542,       20324
 260,      3085,         165,       1405,         3356,           1590,          1725,         16854,           16599,          14424,      33670,        16599,       20364
 261,      3497,         176,       1565,         3376,           1589,          1721,         17113,           16857,          14768,      33930,        16857,       20477
 262,      3379,         168,       1484,         3393,           1606,          1770,         17342,           17085,          14854,      34191,        17085,       20695
 263,      2896,         169,       1316,         3395,           1605,          1776,         17597,           17339,          15048,      34453,        17339,       21025
